Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
65650229,Wellness,Nathan  Hill,"Hill, Nathan",,"=""0593536118""","=""9780593536117""",5,Knopf,Hardcover,611,2023,2023,2024/06/17,2024/03/18,,,read,,,,1,0
51168664,Where the Wild Ladies Are,Aoko Matsuda,"Matsuda, Aoko",Polly Barton,"=""1593766904""","=""9781593766900""",0,Soft Skull,Paperback,288,2020,2016,,2024/06/13,to-read,to-read (#7),to-read,,,,0,0
96177629,Good Material,Dolly Alderton,"Alderton, Dolly",,"=""0241523672""","=""9780241523674""",4,Fig Tree,Paperback,345,2023,2023,2024/05/23,2024/02/02,,,read,,,,1,0
123036004,The Berry Pickers,Amanda    Peters,"Peters, Amanda",,"=""1646221958""","=""9781646221950""",5,Catapult,Hardcover,307,2023,2023,2024/05/10,2024/01/14,,,read,,,,1,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",4,Grove Press,Hardcover,118,2021,2021,2024/04/30,2024/02/29,,,read,,,,1,0
40538657,The Island of Sea Women,Lisa See,"See, Lisa",,"=""""","=""""",5,Scribner,Hardcover,374,2019,2019,2024/04/27,2024/02/29,,,read,,,,1,0
60784605,Maame,Jessica George,"George, Jessica",,"=""""","=""""",5,St. Martin's Press,Hardcover,320,2023,2023,2024/04/09,2024/03/18,,,read,,,,1,0
63094957,The Rachel Incident,Caroline O'Donoghue,"O'Donoghue, Caroline",,"=""0593535707""","=""9780593535707""",3,Knopf,Hardcover,304,2023,2023,2024/04/05,2024/02/29,,,read,,,,1,0
61964751,The Secret Book of Flora Lea,Patti Callahan Henry,"Henry, Patti Callahan",,"=""1668011832""","=""9781668011836""",4,Atria Books,Hardcover,355,2023,2023,2024/03/25,2024/03/15,,,read,,,,1,0
112976344,The Good Part,Sophie Cousens,"Cousens, Sophie",,"=""0593539893""","=""9780593539897""",0,G.P. Putnam's Sons,Paperback,351,2023,2023,,2024/03/18,to-read,to-read (#6),to-read,,,,0,0
142601047,They Called Us Exceptional: And Other Lies That Raised Us,Prachi   Gupta,"Gupta, Prachi",,"=""0593442989""","=""9780593442982""",4,Crown,Hardcover,288,2023,2023,2024/03/14,2024/01/02,,,read,,,,1,0
60196684,No Two Persons,Erica Bauermeister,"Bauermeister, Erica",,"=""1250284376""","=""9781250284372""",4,St Martin's Press,Hardcover,314,2023,2023,2024/03/04,2024/01/14,,,read,,,,1,0
60654349,Weyward,Emilia Hart,"Hart, Emilia",,"=""125028080X""","=""9781250280800""",5,St. Martin's Press,Hardcover,329,2023,2023,2024/02/29,2024/02/28,,,read,,,,1,0
41715227,Evidence of the Affair,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1542044510""","=""9781542044516""",0,Amazon Original Stories,Kindle Edition,88,2018,2018,,2024/02/27,to-read,to-read (#5),to-read,,,,0,0
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798622""","=""9781524798628""",5,Ballantine Books,Hardcover,368,2019,2019,2024/02/27,2024/01/19,,,read,,,,1,0
63241104,Tom Lake,Ann Patchett,"Patchett, Ann",,"=""006332752X""","=""9780063327528""",3,Harper,Hardcover,320,2023,2023,2024/02/26,2024/01/02,,,read,,,,1,0
59836844,Iona Iverson's Rules for Commuting,Clare Pooley,"Pooley, Clare",,"=""1984878646""","=""9781984878649""",5,Pamela Dorman Books,Hardcover,342,2022,2022,2024/02/20,2024/02/02,,,read,,,,1,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0007119313""","=""9780007119318""",5,HarperCollins,Paperback,274,2007,1934,2024/02/19,2024/02/19,,,read,,,,1,0
35900387,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""0008172145""","=""9780008172145""",4,HarperCollins GB,Paperback,390,2018,2017,2024/02/14,2024/01/17,,,read,,,,1,0
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",5,Ballantine Books,Hardcover,384,2022,2022,2024/02/07,2024/01/19,,,read,,,,1,0
54798488,The One Hundred Years of Lenni and Margot,Marianne Cronin,"Cronin, Marianne",,"=""0063017504""","=""9780063017504""",4,Harper Perennial,Paperback,322,2021,2021,2024/02/02,2024/01/17,,,read,,,,1,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",0,G.P. Putnam’s Sons,ebook,384,2018,2018,,2024/02/02,to-read,to-read (#4),to-read,,,,0,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",5,Grand Central Publishing,Kindle Edition,496,2017,2017,2024/01/29,2024/01/17,,,read,,,,1,0
75593884,The Museum of Failures,Thrity Umrigar,"Umrigar, Thrity",,"=""164375355X""","=""9781643753553""",5,Algonquin Books,Hardcover,358,2023,2023,2024/01/23,2024/01/14,,,read,,,,1,0
71603823,Oil Paper Family,Melanie Kim,"Kim, Melanie",,"=""1637308043""","=""9781637308042""",0,New Degree Press,Paperback,390,2022,,,2024/01/21,to-read,to-read (#3),to-read,,,,0,0
55404546,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798657""","=""9781524798659""",4,Ballantine Books,Hardcover,369,2021,2021,2024/01/19,2024/01/05,,,read,,,,1,0
49228706,I Want to Die But I Want to Eat Tteokpokki,Baek Se-hee,"Se-hee, Baek",Hyacinta Louisa,"=""6237351035""","=""9786237351030""",4,Penerbit Haru,Paperback,232,2019,2018,2023/12/01,2024/01/05,,,read,,,,1,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",4,Knopf,Hardcover,256,2021,2021,2024/01/17,2024/01/05,,,read,,,,1,0
33590210,An American Marriage,Tayari Jones,"Jones, Tayari",,"=""1616201347""","=""9781616201340""",0,Algonquin Books,Hardcover,308,2018,2018,,2024/01/17,to-read,to-read (#2),to-read,,,,0,0
